height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
11.7500 192.3636 0.0000 -55.7864 0.0000 0.0040 0.0997 0.0000 0.0000 0.0000 0.0000 2.2501 0.0000 217.5136 217.5136
11.8500 189.3728 0.0000 -54.9340 0.0000 0.0038 0.1125 0.0000 0.0000 0.0000 0.0000 2.2561 0.0000 218.3660 218.3660
11.9500 186.4142 0.0000 -53.6322 0.0000 0.0029 0.1340 0.0000 0.0000 0.0000 0.0000 2.2621 0.0000 219.6677 219.6677
12.0500 182.8727 0.0000 -53.8409 0.0000 0.0016 0.1332 0.0000 0.0000 0.0000 0.0000 2.2681 0.0000 219.4591 219.4591
12.1500 180.5958 0.0000 -53.7031 0.0000 0.0023 0.1371 0.0000 0.0000 0.0000 0.0000 2.2741 0.0000 219.5969 219.5969
12.2500 177.6081 0.0000 -52.9649 0.0000 0.0047 0.1525 0.0000 0.0000 0.0000 0.0000 2.2801 0.0000 220.3351 220.3351
12.3500 174.6204 0.0000 -52.2268 0.0000 0.0076 0.1694 0.0000 0.0000 0.0000 0.0000 2.2861 0.0000 221.0732 221.0732
12.4500 171.6327 0.0000 -51.4886 0.0000 0.0111 0.1882 0.0000 0.0000 0.0000 0.0000 2.2921 0.0000 221.8113 221.8113
12.5500 168.6450 0.0000 -50.7505 0.0000 0.0152 0.2090 0.0000 0.0000 0.0000 0.0000 2.2981 0.0000 222.5495 222.5495
12.6500 165.6573 0.0000 -50.0124 0.0000 0.0202 0.2320 0.0000 0.0000 0.0000 0.0000 2.3041 0.0000 223.2876 223.2876
12.7500 163.1129 0.0000 -50.2526 0.0000 0.0198 0.2291 0.0000 0.0000 0.0000 0.0000 2.3101 0.0000 223.0474 223.0474
12.8500 160.6935 0.0000 -50.7687 0.0000 0.0178 0.2189 0.0000 0.0000 0.0000 0.0000 2.3161 0.0000 222.5313 222.5313
12.9500 158.2742 0.0000 -51.2848 0.0000 0.0160 0.2091 0.0000 0.0000 0.0000 0.0000 2.3221 0.0000 222.0152 222.0152
13.0500 155.8548 0.0000 -51.8010 0.0000 0.0143 0.1997 0.0000 0.0000 0.0000 0.0000 2.3281 0.0000 221.4990 221.4990
13.1500 153.4355 0.0000 -52.3171 0.0000 0.0128 0.1908 0.0000 0.0000 0.0000 0.0000 2.3341 0.0000 220.9829 220.9829
13.2500 151.0161 0.0000 -52.8332 0.0000 0.0113 0.1822 0.0000 0.0000 0.0000 0.0000 2.3401 0.0000 220.4668 220.4668
13.3500 148.6697 0.0000 -53.2628 0.0000 0.0101 0.1757 0.0000 0.0000 0.0000 0.0000 2.3461 0.0000 220.0372 220.0372
13.4500 146.3762 0.0000 -53.6298 0.0000 0.0090 0.1707 0.0000 0.0000 0.0000 0.0000 2.3521 0.0000 219.6702 219.6702
13.5500 144.1111 0.0000 -53.5833 0.0000 0.0087 0.1744 0.0000 0.0000 0.0000 0.0000 2.3581 0.0000 219.7167 219.7167
13.6500 141.9378 0.0000 -53.4776 0.0000 0.0087 0.1793 0.0000 0.0000 0.0000 0.0000 2.3641 0.0000 219.8224 219.8224
13.7500 139.8134 0.0000 -53.9328 0.0000 0.0078 0.1723 0.0000 0.0000 0.0000 0.0000 2.3701 0.0000 219.3671 219.3671
13.8500 137.6889 0.0000 -54.3881 0.0000 0.0070 0.1655 0.0000 0.0000 0.0000 0.0000 2.3761 0.0000 218.9119 218.9119
13.9500 135.5645 0.0000 -54.8433 0.0000 0.0063 0.1590 0.0000 0.0000 0.0000 0.0000 2.3821 0.0000 218.4567 218.4567
14.0500 133.4401 0.0000 -55.2986 0.0000 0.0055 0.1527 0.0000 0.0000 0.0000 0.0000 2.3881 0.0000 218.0014 218.0014
14.1500 131.3156 0.0000 -55.7538 0.0000 0.0049 0.1466 0.0000 0.0000 0.0000 0.0000 2.3941 0.0000 217.5462 217.5462
14.2500 129.1912 0.0000 -56.2090 0.0000 0.0043 0.1408 0.0000 0.0000 0.0000 0.0000 2.4001 0.0000 217.0910 217.0910
14.3500 127.1616 0.0000 -55.6985 0.0000 0.0060 0.1525 0.0000 0.0000 0.0000 0.0000 2.4061 0.0000 217.6015 217.6015
14.4500 125.2078 0.0000 -56.1279 0.0000 0.0050 0.1468 0.0000 0.0000 0.0000 0.0000 2.4121 0.0000 217.1721 217.1721
14.5500 123.2345 0.0000 -56.1821 0.0000 0.0047 0.1482 0.0000 0.0000 0.0000 0.0000 2.4181 0.0000 217.1179 217.1179
14.6500 121.3206 0.0000 -55.5122 0.0000 0.0060 0.1636 0.0000 0.0000 0.0000 0.0000 2.4241 0.0000 217.7878 217.7878
14.7500 119.4464 0.0000 -55.1692 0.0000 0.0068 0.1733 0.0000 0.0000 0.0000 0.0000 2.4301 0.0000 218.1308 218.1308
14.8500 117.6607 0.0000 -55.5538 0.0000 0.0061 0.1678 0.0000 0.0000 0.0000 0.0000 2.4361 0.0000 217.7462 217.7462
14.9500 115.8750 0.0000 -55.9384 0.0000 0.0055 0.1624 0.0000 0.0000 0.0000 0.0000 2.4421 0.0000 217.3615 217.3615
15.0500 114.0893 0.0000 -56.3231 0.0000 0.0049 0.1572 0.0000 0.0000 0.0000 0.0000 2.4481 0.0000 216.9769 216.9769
15.1500 112.3036 0.0000 -56.7077 0.0000 0.0043 0.1522 0.0000 0.0000 0.0000 0.0000 2.4541 0.0000 216.5923 216.5923
15.2500 110.5179 0.0000 -57.0923 0.0000 0.0037 0.1474 0.0000 0.0000 0.0000 0.0000 2.4601 0.0000 216.2077 216.2077
15.3500 108.7322 0.0000 -57.4769 0.0000 0.0032 0.1427 0.0000 0.0000 0.0000 0.0000 2.4661 0.0000 215.8231 215.8231
15.4500 106.9496 0.0000 -57.8651 0.0000 0.0028 0.1381 0.0000 0.0000 0.0000 0.0000 2.4721 0.0000 215.4349 215.4349
